especie_original,cat_ameaca_cncflora_1,cat_ameaca_cncflora_0
Leandra echinata,LC,NA
Leandra fallacissima,EN,NA
Leandra freyreissii,DD,NA
Leandra hatschbachii,EN,NA
Leandra humilis var. glabrata,DD,NA
Leandra lancifolia,LC,NA
Leandra laxa,EN,NA
Leandra loligomorpha,CR,NA
Leandra magdalenensis,EN,NA
Leandra markgrafii,DD,NA
Leandra mollis,EN,NA
Leandra mouraei,CR,NA
Leandra multisetosa,VU,NA
Leandra niangaeformis,EN,NA
Leandra organensis,EN,NA
Leandra parvifolia,NT,NA
Leandra pennipilis,EN,NA
Leandra pilonensis,LC,NA
Leandra rubida,VU,NA
Leandra saldanhaei,DD,NA
Leandra schwackei,DD,NA
Leandra sessiliflora,DD,NA
Leandra sphaerocarpa,VU,NA
Leandra tetragona,DD,NA
Leandra tristis,DD,NA
Leandra umbellata,LC,NA
Lecosia oppositifolia,DD,NA
Lecythis barnebyi,DD,NA
Lecythis brancoensis,LC,NA
Lecythis gracieana,LC,NA
Lecythis ibiriba,VU,NA
Lecythis lanceolata,LC,NA
Lecythis lurida,LC,NA
Lecythis marcgraaviana,LC,NA
Lecythis parvifructa,LC,NA
Lecythis prancei,LC,NA
Lecythis retusa,LC,NA
Lecythis schomburgkii,LC,NA
Lecythis schwackei,CR,EN
Lecythis serrata,LC,NA
Leersia ligularis,VU,NA
Leiothrix cipoensis,DD,NA
Leiothrix crassifolia,LC,NA
Leiothrix distichoclada,LC,NA
Leiothrix echinocephala,VU,NA
Leiothrix fulgida var. milho-verdensis,EN,NA
Leiothrix gomesii,DD,NA
Leiothrix linearis,DD,NA
Leiothrix luxurians,EN,NA
Leiothrix rupestris,CR,NA
Leiothrix schlechtendalii,DD,NA
Leiothrix sclerophylla,VU,NA
Leiothrix sinuosa,VU,NA
Leiothrix spiralis,VU,NA
Lellingeria brasiliensis,VU,NA
Lellingeria itatimensis,CR,NA
Lellingeria limula,CR,NA
Lellingeria pumila,CR,NA
Lellingeria suspensa,LC,NA
Lellingeria tamandarei,EN,NA
Lemna valdiviana,LC,NA
Lepanthopsis densiflora,DD,NA
Lepanthopsis floripecten,LC,NA
Lepidaploa adamantium,DD,NA
Lepidaploa almasensis,CR,NA
Lepidaploa araujoa,CR,NA
Lepidaploa aurea,LC,NA
Lepidaploa chamissonis,NT,NA
Lepidaploa cotoneaster,LC,NA
Lepidaploa gnaphalioides,EN,NA
Lepidaploa luetzelburgii,DD,NA
Lepidaploa obtusifolia,EN,NA
Lepidaploa persicifolia,VU,NA
Lepidaploa pseudaurea,EN,NA
Lepidaploa spixiana,EN,NA
Lepismium cruciforme,LC,NA
Lepismium houlletianum,LC,NA
Lepismium warmingianum,LC,NA
Leptodontium wallisii,VU,NA
Leptolejeunea obfuscata,LC,NA
Leptolobium araguaiense,EN,NA
Leptolobium dasycarpum,LC,NA
Leptolobium elegans,LC,NA
Leptolobium glaziovianum,EN,NA
Leptolobium multijugum,DD,NA
Leptolobium parvifolium,EN,NA
Leptolobium tenuifolium,EN,NA
Leptoscyphus gibbosus,LC,NA
Leptostelma catharinensis,EN,NA
Leptotes bicolor,LC,NA
Lessingianthus adenophyllus,EN,NA
Lessingianthus arachniolepis,VU,NA
Lessingianthus argenteus,VU,NA
Lessingianthus asteriflorus,EN,NA
Lessingianthus caiapoensis,DD,NA
Lessingianthus constrictus,CR,NA
Lessingianthus eitenii,EN,NA
Lessingianthus elegans,NT,NA
Lessingianthus exiguus,VU,NA
Lessingianthus glaziovianus,EN,NA
Lessingianthus grandiflorus,NT,NA
Lessingianthus heringeri,EN,NA
Lessingianthus irwinii,VU,NA
Lessingianthus niederleinii,NT,NA
Lessingianthus pumillus,VU,NA
Lessingianthus reitzianus,VU,NA
Lessingianthus rosmarinifolius,EN,NA
Lessingianthus rugulosus,DD,NA
Lessingianthus scaposus,DD,NA
Lessingianthus souzae,EN,NA
Lessingianthus stoechas,VU,NA
Lessingianthus subcarduoides,EN,NA
Lessingianthus venosissimus,EN,NA
Lessingianthus westermanii,EN,NA
Lessingianthus zuccarinianus,VU,NA
Leucochloron foederale,EN,EN
Leucochloron limae,EN,NT
Leucochloron minarum,EN,EN
Licania anneae,DD,NA
Licania aracaensis,LC,NA
Licania araneosa,VU,NA
Licania arianeae,EN,EN
Licania bahiensis,DD,NA
Licania belemii,EN,EN
Licania bellingtonii,DD,NA
Licania conferruminata,CR,NA
Licania cymosa,EN,NA
Licania fritschii,LC,NA
Licania gardneri,LC,NA
Licania glazioviana,DD,NA
Licania impressa,LC,NA
Licania indurata,EN,EN
Licania lamentanda,EN,NA
Licania maguirei,EN,EN
Licania miltonii,DD,NA
Licania naviculistipula,EN,NA
Licania nelsonii,DD,NA
Licania riedelii,LC,NA
Licania rigida,LC,NA
Licania salzmannii,LC,NA
Licania santosii,DD,NA
Licania spicata,LC,NA
Licania teixeirae,DD,NA
Licania tomentosa,DD,NA
Licaria rodriguesii,LC,NA
Lilaea scilloides,DD,NA
Lilaeopsis brasiliensis,VU,NA
Limnocharis laforesti,LC,NA
Lindackeria paraensis,NT,NA
Linum carneum,DD,NA
Linum erigeroides,DD,NA
Linum littorale,LC,NA
Linum smithii,EN,NA
Liparis vexillifera,LC,NA
Lippia alnifolia,VU,NA
Lippia bellatula,LC,NA
Lippia bradei,VU,NA
Lippia bromleyana,EN,NA
Lippia campestris,EN,NA
Lippia ciliata,DD,NA
Lippia diamantinensis,LC,NA
Lippia duartei,CR,NA
Lippia elliptica,VU,NA
Lippia gardneriana,VU,NA
Lippia grandiflora,VU,NA
Lippia insignis,VU,NA
Lippia lasiocalycina,LC,NA
Lippia macedoi,EN,NA
Lippia morii,EN,NA
Lippia nana,EN,NA
Lippia pusilla,LC,NA
Lippia ramboi,DD,NA
Lippia rhodocnemis,EN,NA
Lippia rubella,EN,NA
Lithachne horizontalis,EN,NA
Lithobium cordatum,EN,NA
Lobelia anceps,EN,NA
Lobelia brasiliensis,EN,NA
Lobelia glazioviana,DD,NA
Lobelia hederacea,NT,NA
Lobelia hilaireana,EN,NA
Lobelia langeana,EN,NA
Lobelia nummularioides,LC,NA
Lobelia santos-limae,CR,CR
Lobelia xalapensis,LC,NA
Loefgrenianthus blanche-amesii,LC,NA
Lomatozona artemisiifolia,EN,NA
Lonchocarpus muehlbergianus,DD,NA
Lonchocarpus praecox,DD,NA
Lonchocarpus torrensis,DD,NA
Lophanthera lactescens,DD,NA
Lophanthera pendula,EN,NA
Lophanthera spruceana,LC,NA
Lophiaris schwambachiae,VU,NA
Lophophytum leandri,LC,NA
Lophophytum rizzoi,EN,NA
Lophopterys floribunda,LC,NA
Lorostemon coelhoi,EN,NA
Loudetia flammida,LC,NA
Ludwigia anastomosans,DD,NA
Luehea candicans,LC,NA
Luehea conwentzii,LC,NA
Lueheopsis burretiana,LC,NA
Luetzelburgia amazonica,EN,NA
Luetzelburgia andrade-limae,LC,NA
Luetzelburgia auriculata,LC,NA
Luetzelburgia guaissara,LC,NA
Luetzelburgia harleyi,CR,NA
Luetzelburgia neurocarpa,CR,NA
Luetzelburgia purpurea,LC,NA
Luetzelburgia trialata,EN,NA
Lulia nervosa,EN,NA
Lundia damazii,VU,NA
Lupinus coriaceus,VU,NA
Lupinus decurrens,EN,NA
Lupinus dusenianus,CR,NA
Lupinus hasslerianus,DD,NA
Lupinus laevigatus,EN,NA
Lupinus linearis,DD,NA
Lupinus ovalifolius,DD,NA
Lupinus parvifolius,DD,NA
Lupinus prouvensalanus,DD,NA
Lupinus russellianus,CR,NA
Luxemburgia angustifolia,VU,NA
Luxemburgia ciliatibracteata,EN,NA
Luxemburgia corymbosa,VU,NA
Luxemburgia damazioana,VU,NA
Luxemburgia diciliata,EN,NA
Luxemburgia flexuosa,VU,NA
Luxemburgia glazioviana,VU,NA
Luxemburgia hatschbachiana,EN,NA
Luxemburgia speciosa,EN,NA
Luziola brasiliensis,VU,NA
Lychnocephalus candelabrum,VU,NA
Lychnocephalus leucodendron,EN,NA
Lychnocephalus sellowii,EN,NA
Lychnocephalus tomentosus,VU,NA
Lychnophora albertinioides,CR,NA
Lychnophora blanchetii,DD,NA
Lychnophora brunioides,CR,NA
Lychnophora crispa,EN,EN
Lychnophora diamantinana,EN,EN
Lychnophora ericoides,NT,NT
Lychnophora gardneri,VU,EN
Lychnophora granmogolensis,NT,EN
Lychnophora humillima,CR,NA
Lychnophora markgravii,EN,NA
Lychnophora martiana,EN,EN
Lychnophora mello-barretoi,EN,EN
Lychnophora passerina,NT,NA
Lychnophora phylicifolia,DD,NA
Lychnophora pinaster,NT,NT
Lychnophora pohlii,VU,EN
Lychnophora ramosissima,VU,NA
Lychnophora regis,EN,NA
Lychnophora reticulata,EN,EN
Lychnophora rosmarinifolia,VU,EN
Lychnophora rupestris,EN,NA
Lychnophora santosii,EN,EN
Lychnophora sellowii,EN,NA
Lychnophora sericea,CR,NA
Lychnophora souzae,CR,CR
Lychnophora staavioides,EN,NA
Lychnophora syncephala,EN,EN
Lychnophora tomentosa,VU,NA
Lychnophora villosissima,VU,EN
Lychnophoriopsis candelabrum,VU,EN
Lychnophoriopsis damazioi,EN,EN
Lychnophoriopsis hatschbachii,EN,EN
Lychnophoriopsis heterotheca,EN,NA
Lycianthes rantonnei,LC,NA
Lycianthes repens,EN,NA
Lycium glomeratum,DD,NA
Lycopodiella benjaminiana,EN,NA
Lycopodiella bradei,EN,NA
Lycopodium jussiaei,EN,NA
Lymania alvimii,EN,NA
Lymania azurea,EN,NA
Lymania brachycaulis,EN,NA
Lymania corallina,EN,NA
Lymania globosa,EN,NA
Lymania spiculata,CR,NA
Lyroglossa grisebachii,LC,NA
Lytocaryum insigne,VU,NA
Mabea glaziovii,LC,NA
Macairea cuieirasii,EN,NA
Machaerina ensifolia,NT,NA
Machaerium androvillosum,CR,NA
Machaerium caratinganum,NT,NA
Machaerium firmum,VU,NA
Machaerium fulvovenosum,LC,NA
Machaerium hirtum,LC,NA
Machaerium inundatum,LC,NA
Machaerium legale,CR,NA
Machaerium leucopterum,LC,NA
Machaerium macaense,EN,NA
Machaerium nyctitans,LC,NA
Machaerium obovatum,VU,VU
Machaerium opacum,LC,NA
Machaerium paraguariense,LC,NA
Machaerium pedicellatum,LC,NA
Machaerium robsonnianum,LC,NA
Machaerium villosum,LC,NA
Maclura brasiliensis,EN,NA
Macradenia multiflora,LC,NA
Macradenia paulensis,DD,NA
Macradenia rubescens,NT,NA
Macrocarpaea atlantica,CR,NA
Macrocarpaea dolichophylla,CR,NA
Macroditassa adnata,LC,NA
Macroditassa lagoensis,LC,NA
Macroditassa marianae,CR,NA
Macrolobium brevense,LC,NA
Macrolobium cidii,DD,NA
Macrolobium conjunctum,DD,NA
Macrolobium cowanii,DD,NA
Macrolobium duckeanum,LC,NA
Macrolobium froesii,DD,NA
Macrolobium longipedicellatum,LC,NA
Macrolobium palustre,DD,NA
Macrolobium urupaense,DD,NA
Macropeplus dentatus,NT,NA
Macropeplus friburgensis,CR,EN
Macropeplus schwackeanus,CR,VU
Macropodina bradei,EN,NA
Macrosamanea macrocalyx,DD,NA
Macrosamanea prancei,DD,VU
Macroscepis aurea,DD,NA
Macroscepis magnifica,DD,NA
Macrothumia kuhlmannii,LC,NA
Macrotorus utriculatus,LC,NA
Magdalenaea limae,CR,CR
Magnolia ovata,LC,NA
Magnolia paranaensis,NA,DD
Magonia pubescens,LC,NA
Malachra radiata,LC,NA
Malanea spicata,DD,NA
Malaxis cogniauxiana,NT,NA
Malaxis excavata,LC,NA
Malaxis jaraguae,VU,NA
Malaxis parthonii,LC,NA
Malmea manausensis,LC,NA
Malmea obovata,DD,NA
Malouetia amplexicaulis,DD,NA
Malouetia aquatica,DD,NA
Malouetia cestroides,LC,NA
Malouetia gracillima,EN,NA
Malvastrum americanum,LC,NA
Mandevilla coccinea,LC,NA
Mandevilla crassinoda,EN,NA
Mandevilla fragrans,LC,NA
Mandevilla hirsuta,LC,NA
Mandevilla rubra,EN,NA
Mandevilla sellowii,NT,NA
Mandevilla semirii,EN,NA
Mandevilla venulosa,NT,NA
Mandirola ichthyostoma,DD,NA
Manettia campanulacea,CR,NA
Manettia fimbriata,NT,NA
Manettia lutescens,DD,NA
Manettia parvula,DD,NA
Manettia pauciflora,EN,NA
Manettia pedunculata,VU,NA
Manettia tweedieana,NT,NA
Manihot carthaginensis,LC,NA
Manihot dichotoma,LC,NA
Manihot elongata,LC,NA
Manihot glaziovii,LC,NA
Manihot grahamii,LC,NA
Manihot procumbens,VU,NA
Manilkara bella,EN,NA
Manilkara cavalcantei,DD,NA
Manilkara dardanoi,CR,VU
Manilkara decrescens,VU,NA
Manilkara elata,DD,NA
Manilkara excelsa,DD,NA
Manilkara huberi,LC,NA
Manilkara longifolia,NT,NT
Manilkara maxima,EN,EN
Manilkara multifida,NT,VU
Manilkara paraensis,NT,NA
Manilkara rufula,LC,NA
Manilkara subsericea,LC,NA
Mapinguari desvauxianus,LC,NA
Maranta bicolor,LC,NA
Maranta subterranea,VU,NA
Maranta zingiberina,LC,NA
Marcetia alba,CR,NA
Marcetia bahiana,EN,NA
Marcetia bracteolaris,DD,NA
Marcetia formosa,EN,NA
Marcetia hatschbachii,EN,NA
Marcetia luetzelburgii,EN,NA
Marcetia lychnophoroides,EN,NA
Marcetia nummularia,EN,NA
Marcetia oxycoccoides,EN,NA
Marcetia semiriana,EN,NA
Marcetia shepherdii,EN,NA
Marcetia viscida,VU,NA
Marcgravia comosa,EN,NA
Marcgravia polyantha,LC,NA
Marchantia berteroana,EN,NA
Margaritaria nobilis,LC,NA
Margyricarpus pinnatus,LC,NA
Marlierea acuminatissima,DD,NA
Marlierea capitata,DD,NA
Marlierea choriophylla,EN,NA
Marlierea estrellensis,DD,NA
Marlierea gardneriana,DD,NA
Marlierea guanabarina,CR,NA
Marlierea krapovickae,EN,NA
Marlierea langsdorffii,DD,NA
Marlierea lealcostae,CR,NA
Marlierea martinellii,EN,NA
Marlierea occhionii,CR,NA
Marlierea polygama,NT,NA
Marlierea regeliana,LC,NA
Marlierea reitzii,LC,NA
Marlierea resupinata,DD,NA
Marlierea sessiliflora,DD,NA
Marlierea silvestris,DD,NA
Marlierea skortzoviana,CR,NA
Marlierea suaveolens,LC,NA
Marlierea subacuminata,LC,NA
Marlierea sucrei,NT,NA
Marlierea teuscheriana,NT,NA
Marsdenia altissima,LC,NA
Marsdenia fontellana,DD,NA
Marsdenia glaziovii,DD,NA
Marsdenia neomanarae,EN,NA
Marsdenia otoniense,CR,NA
Marsdenia queirozii,EN,NA
Marsdenia sessilifolia,EN,NA
Marsdenia virgultorum,DD,NA
Martiodendron fluminense,EN,NA
Martiodendron mediterraneum,LC,NA
Mascagnia aptera,CR,NA
Maschalostachys markgrafii,EN,NA
Masdevallia discoidea,CR,NA
Matayba cristae,VU,NA
Matayba grandis,LC,NA
Matayba leucodyctia,DD,NA
Matayba livescens,NT,NA
Matayba obovata,LC,NA
Matayba punctata,NT,NA
Matayba sylvatica,LC,NA
Matayba talisioides,DD,NA
Matelea bahiensis,EN,NA
Matelea glaziovii,VU,NA
Matelea hatschbachii,EN,NA
Matelea marcoassisii,VU,NA
Matelea matogrossensis,DD,NA
Matelea quinquedentata,DD,NA
Matelea refracta,DD,NA
Matelea santosii,EN,NA
Mauritia carana,LC,NA
Maxillaria pterocarpa,DD,NA
Maxillaria robusta,LC,NA
Maytenus acanthophylla,VU,NA
Maytenus aquifolia,LC,NA
Maytenus basidentata,DD,CR
Maytenus boaria,NT,NA
Maytenus brasiliensis,LC,NA
Maytenus comocladiaeformis,DD,NA
Maytenus dasyclada,LC,NA
Maytenus floribunda,LC,NA
Maytenus glaucescens,LC,NA
Maytenus ilicifolia,LC,NA
Maytenus opaca,NT,NA
Maytenus quadrangulata,EN,NA
Maytenus radlkoferiana,DD,NA
Maytenus robusta,LC,NA
Maytenus rupestris,VU,NA
Maytenus samydaeformis,CR,NA
Mecardonia grandiflora,NT,NA
Megalastrum wacketii,EN,NA
Melanopsidium nigrum,VU,VU
Melanoxylon brauna,VU,NA
Melanthera latifolia,LC,NA
Melasma rhinanthoides,LC,NA
Melica arzivencoi,EN,NA
Melicoccus espiritosantensis,EN,EN
Meliosma chartacea,VU,NA
Meliosma itatiaiae,VU,NA
Melocactus azureus,EN,NA
Melocactus conoideus,CR,NA
Melocactus deinacanthus,CR,NA
Melocactus ferreophilus,EN,NA
Melocactus glaucescens,EN,NA
Melocactus lanssensianus,EN,NA
Melocactus pachyacanthus,EN,NA
Melocactus paucispinus,VU,NA
Melocactus violaceus,VU,NA
Melocactus violaceus subsp. ritteri,EN,NA
Melpomene peruviana,LC,NA
Mendoncia mollis,LC,NA
Meriania aracaensis,LC,NA
Meriania callophylla,VU,NA
Meriania calophylla,EN,NA
Meriania excelsa,CR,NA
Meriania glabra,VU,NA
Meriania glazioviana,EN,NA
Meriania inflata,CR,NA
Meriania longipes,EN,NA
Meriania neblinensis,DD,NA
Meriania paniculata,NT,NA
Meriania robusta,EN,NA
Meriania tetramera,NT,NA
Merianthera burlemarxii,EN,NA
Merianthera eburnea,EN,NA
Merianthera pulchra,VU,VU
Merianthera sipolisii,VU,NA
Merianthera verrucosa,EN,NA
Merostachys abadiana,CR,NA
Merostachys burmanii,EN,NA
Merostachys caucaiana,CR,NA
Merostachys neesii,DD,NA
Merostachys scandens,CR,NA
Merostachys skvortzovii,LC,NA
Merremia aturensis,LC,NA
Merremia repens,EN,NA
Mesadenella atroviridis,NT,NA
Mesosetum alatum,EN,NA
Mesosetum ferrugineum,LC,NA
Mesosetum longiaristatum,EN,NA
Metastelma giuliettianum,EN,NA
Metastelma harleyi,EN,NA
Metrodorea maracasana,VU,VU
Metzgeria brasiliensis,LC,NA
Metzgeria hegewaldii,EN,NA
Metzgeria liebmanniana,LC,NA
Metzgeria psilocraspeda,LC,NA
Metzgeria subaneura,DD,NA
Mezia araujoi,EN,NA
Mezilaurus crassiramea,NT,NA
Mezilaurus decurrens,EN,NA
Mezilaurus duckei,EN,NA
Mezilaurus glabriantha,CR,NA
Mezilaurus itauba,VU,NA
Mezilaurus manausensis,DD,NA
Mezilaurus micrantha,EN,NA
Mezilaurus microphylla,CR,NA
Mezilaurus navalium,CR,EN
Mezilaurus vanderwerffii,VU,NA
Miconia altissima,LC,NA
Miconia amoena,LC,NA
Miconia angelana,VU,CR
Miconia argyraea,DD,NA
Miconia atlantica,LC,NA
Miconia augusti,DD,NA
Miconia baumgratziana,LC,NA
Miconia bradeana,EN,NA
Miconia brasiliensis,LC,NA
Miconia caiuia,NT,NA
Miconia capixaba,EN,CR
Miconia carvalhoana,CR,NA
Miconia castaneiflora,VU,NA
Miconia cinerea,CR,NA
Miconia cipoensis,EN,NA
Miconia cubatanensis,LC,NA
Miconia dichroa,DD,NA
Miconia doriana,LC,NA
Miconia dorsaliporosa,NT,NA
Miconia eichleri,LC,NA
Miconia elaeodendron,VU,NA
Miconia fasciculata,LC,NA
Miconia fluminensis,DD,NA
Miconia gigantea,EN,NA
Miconia gilva,DD,NA
Miconia glazioviana,DD,VU
Miconia goldenbergiana,NT,NA
Miconia ibaguensis,LC,NA
Miconia johnwurdackiana,EN,NA
Miconia klotzschii,DD,NA
Miconia kollmannii,DD,NA
Miconia laeta,DD,NA
Miconia lagunensis,EN,NA
Miconia longicuspis,NT,NA
Miconia lurida,EN,NA
Miconia manauara,LC,NA
Miconia mellina,LC,NA
Miconia mendoncae,VU,NA
Miconia michelangeliana,DD,NA
Miconia oblongifolia,DD,NA
Miconia octopetala,LC,NA
Miconia ovalifolia,DD,NA
Miconia ovata,DD,NA
Miconia paucidens,LC,NA
Miconia penduliflora,EN,EN
Miconia petroniana,LC,NA
Miconia picinguabensis,CR,EN
Miconia polyandra,LC,NA
Miconia pseudoeichleri,DD,NA
Miconia pulchra,DD,NA
Miconia rabenii,DD,NA
Miconia ramboi,LC,NA
Miconia rimalis,LC,NA
Miconia robustissima,LC,NA
Miconia rufipila,CR,NA
Miconia sclerophylla,LC,NA
Miconia setosociliata,NT,VU
Miconia shepherdii,LC,NA
Miconia suberosa,DD,NA
Miconia subvernicosa,VU,NA
Miconia tentaculifera,NT,NA
Miconia urophylla,LC,NA
Miconia valentinensis,CR,NA
Miconia warmingiana,DD,NA
Miconia weddellii,DD,NA
Miconia willdenowii,LC,NA
Micrandropsis scleroxylon,LC,NA
Micranthemum umbrosum,LC,NA
Micranthocereus albicephalus,EN,NA
Micranthocereus auriazureus,EN,NA
Micranthocereus dolichospermaticus,EN,NA
Micranthocereus polyanthus,EN,NA
Micranthocereus streckeri,CR,NA
Micranthocereus violaciflorus,EN,NA
Microchilus arietinus,LC,NA
Microgramma crispata,LC,NA
Microlicia balsamifera,VU,NA
Microlicia canastrensis,EN,NA
Microlicia cardiophora,DD,NA
Microlicia cipoana,EN,NA
Microlicia crebropunctata,DD,NA
Microlicia cuspidifolia,CR,NA
Microlicia doryphylla,NT,NA
Microlicia elegans,DD,NA
Microlicia fasciculata,LC,NA
Microlicia flava,EN,NA
Microlicia fulva,LC,NA
Microlicia giuliettiana,NT,NA
Microlicia glazioviana,EN,NA
Microlicia humilis,VU,NA
Microlicia juniperina,DD,NA
Microlicia macedoi,EN,NA
Microlicia melanostagma,DD,NA
Microlicia microphylla,CR,NA
Microlicia minima,NT,NA
Microlicia monticola,NT,NA
Microlicia mucugensis,EN,NA
Microlicia myrtoidea,NT,NA
Microlicia noblickii,EN,NA
Microlicia obtusifolia,EN,NA
Microlicia oligochaeta,EN,NA
Microlicia ordinata,EN,NA
Microlicia petasensis,VU,NA
Microlicia psammophila,EN,NA
Microlicia scoparia,NT,NA
Microlicia sincorensis,VU,NA
Microlicia subaequalis,EN,NA
Microlicia subalata,CR,NA
Microlicia tenuifolia,EN,NA
Microlicia trichocalycina,CR,NA
Microlicia vernicosa,EN,NA
Micropholis casiquiarensis,LC,NA
Micropholis caudata,DD,NA
Micropholis cayennensis,LC,NA
Micropholis compta,NT,NA
Micropholis crassipedicellata,LC,NA
Micropholis cylindrocarpa,LC,NA
Micropholis emarginata,NT,EN
Micropholis gnaphaloclados,NT,NA
Micropholis grandiflora,DD,NA
Micropholis humboldtiana,LC,NA
Micropholis madeirensis,LC,NA
Micropholis maguirei,LC,NA
Micropholis resinifera,LC,NA
Micropholis retusa,DD,NA
Micropholis sanctae-rosae,LC,NA
Micropholis splendens,EN,EN
Micropholis submarginalis,LC,NA
Micropholis williamii,LC,NA
Micropolypodium perpusillum,EN,NA
Microtea bahiensis,EN,NA
Microtea maypurensis,LC,NA
Microtea papilosa,VU,NA
Microtea scabrida,LC,NA
Miersiella umbellata,LC,NA
Mikania additicia,EN,NA
Mikania alexandreae,DD,NA
Mikania alvimii,EN,NA
Mikania anethifolia,EN,NA
Mikania argyreiae,VU,NA
Mikania biformis,NT,NA
Mikania cabrerae,EN,NA
Mikania campos-portoana,EN,NA
Mikania capricorni,NT,NA
Mikania casarettoi,DD,NA
Mikania chlorolepis,NT,NA
Mikania cipoensis,EN,NA
Mikania clematidifolia,VU,NA
Mikania decumbens,NT,NA
Mikania dusenii,CR,NA
Mikania firmula,VU,NA
Mikania glabra,EN,NA
Mikania glauca,EN,NA
Mikania glomerata,LC,NA
Mikania hartbergii,EN,NA
Mikania hastato-cordata,VU,NA
Mikania hastifolia,EN,NA
Mikania hemisphaerica,LC,NA
Mikania itambana,EN,NA
Mikania lindbergii,LC,NA
Mikania lindleyana,LC,NA
Mikania malacolepis,DD,NA
Mikania microdonta,LC,NA
Mikania microptera,NT,NA
Mikania mosenii,DD,NA
Mikania neurocaula,EN,NA
Mikania nodulosa,NT,NA
Mikania oblongifolia,LC,NA
Mikania oreophila,EN,NA
Mikania paranahybensis,DD,NA
Mikania pinnatiloba,EN,NA
Mikania premnifolia,EN,NA
Mikania pteropoda,EN,NA
Mikania rufescens,NT,NA
Mikania smaragdina,NT,NA
Mikania ternata,LC,NA
Mikania trinervis,LC,NA
Mikania ulei,LC,NA
Mikania variifolia,EN,NA
Mikania vauthieriana,EN,NA
Mikania viminea,EN,NA
Mikania warmingii,EN,NA
Miltonia clowesii,NT,NA
Miltonia flava,DD,NA
Miltonia flavescens,LC,NA
Miltonia regnellii,LC,NA
Miltonia spectabilis,LC,NA
Mimosa acroconica,CR,EN
Mimosa acutistipula var. ferrea,DD,NA
Mimosa adamantina,EN,NA
Mimosa adenophylla,LC,NA
Mimosa adenotricha,NT,NA
Mimosa afranioi,EN,NA
Mimosa balduinii,EN,NA
Mimosa barretoi,EN,NA
Mimosa bathyrrhena,EN,NA
Mimosa bispiculata,CR,NA
Mimosa bocainae,CR,NA
Mimosa bombycina,EN,NA
Mimosa caesalpiniifolia,LC,NA
Mimosa capito,NT,NA
Mimosa catharinensis,EN,NA
Mimosa chrysastra,CR,NA
Mimosa cryptothamnos,EN,NA
Mimosa cubatanensis,NT,NA
Mimosa cyclophylla,CR,NA
Mimosa decorticans,EN,LC
Mimosa dichroa,NT,NA
Mimosa dominarum,EN,NA
Mimosa emaensis,VU,NA
Mimosa ernestii,CR,NA
Mimosa exalbescens,DD,NA
Mimosa glazioui,CR,NA
Mimosa glycyrrhizoides,DD,NA
Mimosa hatschbachii,EN,NA
Mimosa heringeri,EN,NA
Mimosa humifusa,DD,NA
Mimosa humivagans,DD,NA
Mimosa involucrata,EN,NA
Mimosa itatiaiensis,EN,NA
Mimosa lanata,DD,NA
Mimosa laniceps,DD,NA
Mimosa lepidophora,NT,NA
Mimosa leprosa,EN,NA
Mimosa leptantha,DD,NA
Mimosa lithoreas,EN,NA
Mimosa macedoana,EN,NA
Mimosa manidea,NT,NA
Mimosa mensicola,EN,NA
Mimosa montis-carasae,EN,NA
Mimosa myuros,EN,VU
Mimosa neonitens,EN,NA
Mimosa niomarlei,DD,NA
Mimosa oligosperma,EN,NA
Mimosa osmarii,VU,NA
Mimosa pabstiana,LC,DD
Mimosa paucifolia,VU,NA
Mimosa perplicata,CR,NA
Mimosa pseudotrachycarpa,LC,NA
Mimosa psittacina,EN,NA
Mimosa pycnocoma,DD,NA
Mimosa pyrenea,NT,NA
Mimosa regina,EN,EN
Mimosa rheiptera,EN,NA
Mimosa robsonii,DD,NA
Mimosa sanguinolenta,LC,NA
Mimosa setosissima,LC,NA
Mimosa skinneri,EN,LC
Mimosa skinneri var. carajarum,CR,NA
Mimosa sobralii,EN,NA
Mimosa splendida,EN,NA
Mimosa strobiliflora,CR,NA
Mimosa suburbana,CR,NA
Mimosa thomista,EN,NA
Mimosa tocantinensis,EN,NA
Mimosa ulbrichiana,LC,NA
Mimosa ulei,EN,NA
Mimosa uniceps,EN,NA
Mimosa urandiensis,DD,NA
Mimosa urticaria,EN,NA
Mimosa verrucosa,LC,NA
Mimosa virgula,NT,NA
Minaria abortiva,DD,NA
Minaria acerosa,LC,NA
Minaria bifurcata,CR,NA
Minaria campanuliflora,CR,NA
Minaria diamantinensis,CR,NA
Minaria grazielae,EN,NA
Minaria hemipogonoides,CR,NA
Minaria inconspicua,EN,NA
Minaria lourteigiae,DD,NA
Minaria magisteriana,EN,NA
Minaria monocoronata,CR,NA
Minaria polygaloides,EN,NA
Minaria refractifolia,VU,NA
Minaria semirii,EN,NA
Minasia alpestris,EN,NA
Minasia cabralensis,EN,NA
Minasia lewinsohnii,DD,NA
Minasia pereirae,EN,NA
Minasia scapigera,EN,NA
Mitracarpus anthospermoides,EN,NA
Mitracarpus baturitensis,LC,NA
Mitracarpus eritrichoides,EN,NA
Mitracarpus pusillus,CR,NA
Mitracarpus rigidifolius,VU,NA
Moldenhawera acuminata,NT,EN
Moldenhawera blanchetiana,VU,NA
Moldenhawera floribunda,NT,NA
Moldenhawera intermedia,DD,NA
Moldenhawera longipedicellata,EN,NA
